票,类,策略,胜率,近期PF,全PF,近90笔,近90,推荐
AMD,真股,ST_10_3,36,2.96,1.17,15,8.9,✅强(近期)
MXL,真股,ORB5_Z,38,2.7,1.63,36,105.2,✅强(近期)
DELL,真股,ORB5_Z,43,2.66,1.53,31,51.9,✅强(近期)
SNDK,真股,ORB5_Z,37,2.02,1.44,36,56.7,✅强(近期)
AAOI,真股,ORB5_Z,36,1.98,1.64,27,56.2,✅强(近期)
SOXL,杠杆,ST_10_3,46,1.84,1.37,22,11.8,✅强(近期)
ALAB,真股,ORB5_Z,39,1.8,1.4,35,47.4,✅强(近期)
MSFL,杠杆,ORB5_Z,40,1.75,1.41,25,15.6,✅强(近期)
MU,真股,ST_10_3,51,1.67,1.53,17,3.0,✅强(近期)
MSFU,杠杆,ORB5_Z,34,1.57,1.26,22,10.9,✅强(近期)
IREN,真股,ORB5_Z,38,1.57,1.31,26,16.8,✅强(近期)
PLTR,真股,ST_10_3,45,1.56,1.38,1,0.0,⚠️近期样本少
INTC,真股,ORB5_Z,36,1.56,1.35,34,24.6,✅强(近期)
NBIS,真股,ORB5_Z,31,1.54,1.06,33,32.2,✅强(近期)
CRWV,真股,ORB5_Z,30,1.52,1.36,28,23.0,✅强(近期)
RKLB,真股,ORB5_Z,30,1.49,1.19,32,55.8,⚠️中等
LITE,真股,ORB5_Z,39,1.45,1.24,31,42.2,⚠️中等
NVDL,杠杆,EMA_X,52,1.45,1.31,22,4.4,⚠️中等
CIFR,真股,ORB5_Z,31,1.42,1.14,25,27.4,⚠️中等
ORCL,真股,ORB5_Z,35,1.39,1.4,26,14.4,⚠️中等
CRCL,真股,ORB5_Z,37,1.38,1.39,24,21.6,⚠️中等
ARM,真股,ORB5_Z,36,1.35,1.25,37,26.3,⚠️中等
EOSE,真股,ST_10_3,50,1.33,1.48,0,,⚠️近期样本少
OKLO,真股,ORB5_Z,36,1.26,1.51,27,14.3,⚠️中等
TSLZ,反向,ORB5_Z,37,1.18,1.34,29,2.9,⚠️弱
TSLL,杠杆,TTM_SQ,43,1.07,1.1,36,2.7,⚠️弱
HOOD,真股,EMA_X,51,0.97,1.16,28,0.5,⚠️近期转弱
MRVL,真股,无,0,0.0,0.0,0,0.0,❌不建议
NVDS,反向,无,0,0.0,0.0,0,0.0,❌不建议
AMZN,真股,无,0,0.0,0.0,0,0.0,❌不建议
SOXS,反向,无,0,0.0,0.0,0,0.0,❌不建议
